dataset, ref_frame, src_frame, overlap, all_time, all_t_err, all_r_err, pct_time, pct_t_err, pct_r_err, sigma_time, sigma_t_err, sigma_r_err, x84_time, x84_t_err, x84_r_err, dynamic_time, dynamic_t_err, dynamic_r_err, goicp_time, goicp_t_err, goicp_r_err, s4pcs_time, s4pcs_t_err, s4pcs_r_err, hmrf_time, hmrf_t_err, hmrf_r_err
freiburg1_room, 60, 900, 0.25741, 18.35254, 0.55437, 0.96976, 13.21263, 0.42933, 0.74458, 18.31509, 0.53903, 0.91906, 18.39353, 0.55467, 0.97068, 18.80593, 0.55384, 0.96788, NaN, NaN, NaN, 44.75993, 0.56797, 2.02804, 11.45134, 0.10664, 0.36288
freiburg1_room, 150, 290, 0.36844, 7.17087, 1.07178, 0.36239, 5.79568, 0.93201, 0.18159, 10.26815, 1.06460, 0.30832, 18.87391, 0.15589, 0.35080, 9.89989, 0.91723, 0.17089, NaN, NaN, NaN, 15.99047, 0.35411, 3.04801, 14.00546, 1.05865, 0.36748
freiburg1_room, 520, 540, 0.43616, 20.08204, 0.55974, 0.85378, 22.17385, 0.57246, 0.90776, 21.92053, 0.57531, 0.86830, 19.37623, 0.55897, 0.85336, 22.41955, 0.56474, 0.85567, NaN, NaN, NaN, 3.80273, 0.82541, 1.51149, 36.76596, 0.05174, 0.03069
freiburg1_room, 20, 80, 0.56960, 8.56213, 0.44568, 0.16242, 4.93949, 0.23598, 0.09211, 8.22267, 0.37132, 0.13906, 3.66535, 0.08458, 0.07707, 4.98944, 0.13486, 0.06745, NaN, NaN, NaN, 1.02558, 0.00000, 0.31415, 6.53167, 0.04147, 0.06211
freiburg1_room, 30, 40, 0.66515, 7.36639, 0.30756, 0.14050, 3.62919, 0.16785, 0.06749, 5.30080, 0.27867, 0.12217, 2.79413, 0.03418, 0.02164, 3.78021, 0.10086, 0.01362, NaN, NaN, NaN, 0.82230, 0.43573, 0.23064, 4.13761, 0.02163, 0.01476
freiburg1_room, 130, 150, 0.78036, 1.63635, 0.08892, 0.20271, 2.45534, 0.02511, 0.07826, 2.01860, 0.04746, 0.15526, 3.56278, 0.02323, 0.01707, 1.43664, 0.03227, 0.03187, NaN, NaN, NaN, 0.39522, 0.94518, 3.08610, 7.72774, 0.02148, 0.02724
freiburg1_room, 940, 950, 0.80275, 1.67970, 0.05986, 0.03245, 1.65536, 0.02617, 0.02494, 1.56346, 0.04102, 0.02726, 1.41979, 0.02169, 0.02005, 1.27952, 0.02166, 0.01814, NaN, NaN, NaN, 0.42422, 0.45369, 2.97187, 5.12489, 0.02239, 0.02107
freiburg1_room, 420, 430, 0.93296, 1.73204, 0.01033, 0.01903, 2.32072, 0.01047, 0.01188, 1.90131, 0.00680, 0.01110, 2.42585, 0.01041, 0.01285, 1.82544, 0.01442, 0.01878, 0.26483, 0.01074, 0.02318, 0.34218, 0.31747, 0.54743, 7.87301, 0.03874, 0.17568
freiburg2_360_hemisphere, 750, 860, 0.17692, 1.34938, 4.42993, 0.58347, 2.71170, 3.43606, 1.15758, 2.81065, 3.82960, 1.34229, 2.73049, 2.81821, 0.89126, 2.54162, 3.01586, 0.98007, NaN, NaN, NaN, 120.02564, NaN, NaN, 1.37596, 0.94451, 0.61991
freiburg2_360_hemisphere, 190, 110, 0.21921, 7.45206, 3.85541, 0.20022, 8.05508, 3.70723, 0.24916, 7.42770, 3.86939, 0.19299, 7.49897, 3.85358, 0.20217, 7.50823, 3.87277, 0.19025, NaN, NaN, NaN, 120.03356, NaN, NaN, 10.95967, 2.84475, 0.38297
freiburg2_360_hemisphere, 120, 170, 0.35519, 2.55960, 2.52765, 0.35180, 4.51610, 2.12199, 0.35634, 2.73163, 2.23723, 0.28987, 2.46942, 0.83869, 0.21054, 2.09751, 1.61707, 0.27582, NaN, NaN, NaN, 120.02796, NaN, NaN, 6.45699, 0.17466, 0.13476
