ref_frame, src_frame, overlap, all_time, all_t_err, all_r_err, pct_time, pct_t_err, pct_r_err, sigma_time, sigma_t_err, sigma_r_err, x84_time, x84_t_err, x84_r_err, dynamic_time, dynamic_t_err, dynamic_r_err, goicp_time, goicp_t_err, goicp_r_err, s4pcs_time, s4pcs_t_err, s4pcs_r_err, hmrf_time, hmrf_t_err, hmrf_r_err
271, 331, 0.33017, 18.89764, 0.65633, 1.84866, 27.49550, 0.34424, 0.84412, 25.36464, 0.37983, 0.75851, 26.73772, 0.36997, 0.80733, 27.28240, 0.34068, 0.84947, NaN, NaN, NaN, 16.20173, 0.52316, 1.73084, 9.73103, 0.05252, 0.18792
607, 877, 0.36315, 2.17083, 0.20259, 0.17185, 1.48257, 0.16222, 0.16367, 2.70290, 0.19956, 0.14462, 1.37159, 0.16176, 0.16373, 1.43925, 0.15777, 0.16309, NaN, NaN, NaN, 5.03294, 0.28453, 0.10616, 1.56864, 0.11693, 0.16898
529, 1015, 0.36533, 3.78720, 0.12080, 0.06725, 6.60248, 0.08447, 0.04150, 3.75860, 0.09816, 0.06178, 3.64684, 0.10818, 0.06578, 3.66652, 0.09723, 0.06014, NaN, NaN, NaN, 12.22469, 0.02955, 0.09420, 5.73651, 0.05825, 0.12447
727, 1075, 0.36289, 9.12489, 0.05208, 0.26844, 6.10311, 0.03224, 0.18042, 7.61475, 0.04528, 0.23131, 8.50980, 0.04895, 0.25068, 8.39594, 0.04694, 0.23931, NaN, NaN, NaN, 2.30641, 0.42579, 2.99317, 7.37852, 0.01833, 0.03605
781, 1009, 0.34869, 8.17441, 0.18022, 0.29654, 3.21672, 0.07500, 0.27200, 5.07342, 0.11181, 0.29076, 2.75055, 0.06878, 0.25457, 4.74289, 0.05506, 0.20294, NaN, NaN, NaN, 3.41732, 0.37301, 0.42052, 4.07447, 0.02740, 0.01810
817, 451, 0.83272, 1.24392, 0.03040, 0.04285, 1.34530, 0.01176, 0.01394, 1.09657, 0.01892, 0.02599, 1.17404, 0.01023, 0.01017, 1.09223, 0.01065, 0.01032, 0.23419, 0.03342, 0.04153, 0.29832, 0.00000, 0.31415, 4.55945, 0.00783, 0.01133
403, 535, 0.33330, 2.73461, 0.11432, 0.23252, 2.58947, 0.05379, 0.17048, 4.14484, 0.11199, 0.22266, 3.51512, 0.11184, 0.22611, 3.78357, 0.11281, 0.22487, NaN, NaN, NaN, 9.69546, 0.02129, 0.04132, 4.00832, 0.02501, 0.14657
727, 67, 0.27367, 8.52180, 0.18171, 0.48187, 4.21061, 0.13038, 0.43460, 7.25568, 0.16932, 0.46631, 8.59112, 0.18121, 0.48186, 7.59975, 0.17839, 0.47907, NaN, NaN, NaN, 18.07730, 0.24038, 3.11849, 11.08107, 0.20319, 0.42283
709, 271, 0.47021, 2.72886, 0.04736, 0.26450, 2.37682, 0.03100, 0.09448, 4.40793, 0.05186, 0.19883, 2.78689, 0.03037, 0.09447, 1.95782, 0.01876, 0.06395, NaN, NaN, NaN, 1.35358, 0.06840, 0.16389, 4.70815, 0.00533, 0.02857
205, 25, 0.47682, 13.55084, 0.36231, 0.85041, 12.09216, 0.29467, 0.76461, 12.83037, 0.36252, 0.85394, 13.26727, 0.36204, 0.85188, 13.74481, 0.36274, 0.85040, NaN, NaN, NaN, 1.70793, 0.41641, 2.30331, 12.21083, 0.00779, 0.03207
